PubAirPollutionMetaVarUId,PubUId,AirPollutantUId,MetaVarUId,Value,UpperLimit,LowerLimit,Annotation
1,27,2,1,1.005,1.038,0.975,
2,22,2,1,1.076,1.12,1.032,
4,31,2,1,1.186,1.532,0.894,
5,28,3,1,0.969,1.005,0.934,
6,27,3,1,1.016,1.046,0.987,
7,23,3,1,1.003,1.005,1,
8,22,3,1,1.028,1.043,1.013,
9,21,3,1,1.01,1.019,1.002,
10,29,3,1,1.063,1.114,1.014,
11,30,3,1,1.036,1.055,1.017,
12,31,3,1,1.025,1.027,1.005,
13,32,3,1,1.039,1.068,1.01,
14,34,3,1,1.006,1.016,1,
15,35,3,1,1.014,1.028,1,
16,36,3,1,1.042,1.081,1.004,
17,38,3,1,1,1.001,1,
18,39,3,1,0.971,1.006,0.938,
19,40,3,1,1.014,1.026,1.005,
20,42,3,1,1.004,1.008,1.001,
21,44,3,1,1.004,1.012,0.997,
22,43,3,1,1.047,1.089,1.005,
23,45,3,1,1,1.011,0.991,
24,41,3,1,1.009,1.11,1.005,
25,48,3,1,0.998,0.999,0.996,
26,49,3,1,0.957,1.154,0.887,
27,52,3,1,1.031,1.46,1.017,
28,53,3,1,0.998,1.032,0.965,
30,57,3,1,1.01,1.014,1.006,
31,58,3,1,1.009,1.027,0.993,
32,64,2,1,1.12,1.169,1.072,Warm Season
33,64,2,1,1.004,1.033,0.975,Cold Season
34,64,3,1,1.013,1.02,1.007,Cold Season
35,64,3,1,1.013,1.02,1.007,Warm Season
36,64,5,1,1.014,1.026,1.002,
37,64,1,1,1.004,1.009,0.998,
38,63,2,1,1.03,1.132,0.938,
39,63,4,1,0.968,0.981,0.954,
40,63,3,1,1.104,1.142,1.068,
41,63,6,1,0.991,1.011,0.97,
42,63,5,1,1.005,1.024,0.987,
43,63,1,1,0.95,1.104,0.808,
44,62,2,1,1.017,1.025,1.01,
45,62,4,1,1.012,1.016,1.007,
46,62,3,1,1.003,1.006,1.002,
47,62,6,1,1.017,1.027,1.008,
48,62,5,1,1.014,1.022,1.008,
49,62,1,1,1.07,1.105,1.031,
50,61,2,1,1.02,1.05,0.99,
51,61,4,1,1.023,1.054,0.992,
52,61,5,1,1.023,1.039,1.007,0-4y
53,61,5,1,1.025,1.001,1.051,4-14y
54,61,6,1,1.045,1.071,1.018,0-4y
55,61,6,1,1.034,1.076,0.992,4-14y
56,61,1,1,1.017,1.031,1.004,0-4y
57,61,1,1,1.013,1.084,0.964,4-14y
58,60,3,1,1.019,1.025,1.013,
59,60,6,1,1.075,1.1,1.05,
60,59,4,1,1.018,1.032,1.004,Warm Season
61,59,4,1,1.022,1.042,1.004,Cold Season
62,59,3,1,0.996,1.018,0.976,Warm Season
63,59,1,1,1.021,1.052,0.992,Warm Season
64,59,1,1,1.008,1.034,0.984,Cold Season
65,58,4,1,1.006,1.027,0.989,
66,58,1,1,0.98,0.992,0.97,
67,57,4,1,1.009,1.014,1.005,
68,57,6,1,1.004,1.009,1,
69,57,5,1,1.005,1.009,1.002,
70,57,1,1,1.004,1.011,0.998,
71,56,2,1,1.096,1.226,0.984,Low Socioeconomic Male
72,56,2,1,1.096,1.226,0.968,High Socioeconomic Male
73,56,2,1,1.16,1.176,0.872,Low Socioeconomic Female
74,56,2,1,1.08,1.256,0.904,High Socioeconomic Female
75,56,4,1,1.097,1.172,1.03,Low Socioeconomic Male
76,56,4,1,1.03,1.105,0.963,High Socioeconomic Male
77,56,4,1,1.052,1.142,0.97,Low Socioeconomic Female
78,56,4,1,1.007,1.097,0.925,High Socioeconomic Female
79,56,1,1,1.021,1.106,0.934,Low Socioeconomic Male
80,56,1,1,1.032,1.127,0.947,High Socioeconomic Male
81,56,1,1,1.053,1.17,0.947,Low Socioeconomic Female
82,56,1,1,1.074,1.201,0.958,High Socioeconomic Female
83,55,2,1,1.08,1.176,1,Male
84,55,2,1,1,1.096,0.888,Female
85,55,4,1,1.018,1.044,0.996,Male
86,55,4,1,0.996,1.027,0.965,Female
87,55,1,1,1,1.025,0.975,Male
88,55,1,1,1.02,1.055,0.985,Female
89,54,4,1,0.998,0.999,0.997,
90,54,1,1,0.998,1,0.996,
91,53,4,1,1.025,1.062,0.99,
92,53,5,1,1.035,1.075,0.997,
93,53,1,1,1.056,1.139,0.979,
94,52,4,1,1.026,1.042,1.01,
95,52,5,1,1.015,1.028,1.002,
96,52,1,1,1.017,1.036,0.998,
97,51,2,1,1.612,1.86,1.38,Warm Season
98,51,2,1,2.14,2.479,1.826,Cold Season
99,51,4,1,1.074,1.122,1.032,Warm Season
100,51,4,1,1.321,1.399,1.251,Cold Season
101,51,3,1,1.067,1.089,1.046,Warm Season
102,51,3,1,1.047,1.081,1.017,Cold Season
103,51,5,1,1.048,1.075,1.025,
104,51,1,1,1.011,1.05,0.973,Warm Season
105,51,1,1,1.113,1.19,1.044,Cold Season
106,50,2,1,1.417,1.578,1.27,Warm Season
107,50,2,1,1.115,1.205,1.029,Cold Season
108,50,4,1,1.086,1.12,1.055,Warm Season
109,50,4,1,1.062,1.088,1.037,Cold Season
110,50,3,1,1.012,1.039,0.986,Warm Season
111,50,3,1,1.073,1.104,1.046,Cold Season
112,50,5,1,1.017,1.048,0.989,Warm Season
113,50,5,1,1.018,1.033,1.004,Cold Season
114,50,1,1,1.091,1.187,1.001,Warm Season
115,50,1,1,0.978,1.038,0.92,Cold Season
116,49,2,1,1.42,3.395,0.037,
117,49,6,1,0.821,1.403,0.418,
118,49,1,1,1.09,1.35,0.887,
119,48,5,1,1,1.003,1,
120,45,2,1,1.009,1.022,0.977,
121,45,4,1,1.003,1.009,0.998,
122,45,5,1,1.005,1.02,0.992,
123,45,1,1,1.039,1.091,0.993,
124,43,2,1,1,1.034,0.966,
125,43,6,1,1,1.043,0.957,
126,44,5,1,1.013,1.033,0.993,
127,42,6,1,1,1.02,0.99,
128,42,5,1,0.99,1.01,0.96,
129,40,2,1,1.052,1.078,1.026,
130,40,6,1,1.034,1.059,1.017,
131,40,5,1,1.025,1.04,1.01,
132,40,1,1,1.014,1.028,0.986,
133,27,4,1,1.021,1.043,0.998,
134,27,1,1,0.978,1.057,0.904,
135,22,4,1,1.02,1.032,1.008,
136,22,6,1,1.085,1.166,1.01,
137,22,5,1,1.018,1.036,1.001,
138,31,4,1,1.018,1.033,1.006,
139,31,5,1,1.016,1.023,1.008,
140,31,1,1,1.077,1.161,1,
141,39,4,1,1.026,1.049,1.004,
142,39,1,1,1.06,1.11,1.014,
143,38,5,1,1.006,1.013,0.999,
144,38,1,1,1.027,1.053,1.002,
145,36,2,1,1,1.28,0.72,
146,36,4,1,0.989,1.054,0.923,
147,36,6,1,1,1.121,0.909,
148,36,1,1,1.044,1.133,0.933,
149,35,4,1,1.015,1.034,0.995,
150,35,5,1,1.01,1.038,0.986,
151,35,1,1,1.024,1.046,1.002,
152,34,4,1,1.007,1.018,0.996,
153,34,1,1,1.002,1.01,0.995,
154,32,4,1,1.013,1.035,0.991,
155,32,5,1,1.006,1.037,0.976,
156,32,1,1,1.018,1.054,0.984,
157,30,1,1,0.997,1.006,0.992,
158,29,4,1,1.076,1.134,1.02,
159,29,1,1,1.05,1.133,0.973,
160,21,4,1,1.016,1.023,1.009,
161,21,6,1,1.024,1.035,1.014,
162,21,5,1,1.017,1.023,1.011,
163,21,1,1,0.989,0.998,0.974,
164,23,4,1,1.006,1.01,1.002,
165,23,1,1,1.016,1.028,1.005,
166,28,4,1,1.011,1.029,0.99,
167,28,5,1,1.025,1.051,1.001,
168,28,1,1,1.06,1.113,1.009,
169,65,2,1,1.003,1.048,0.957,
170,65,4,1,1.009,1.016,1.001,
171,65,3,1,1.004,1.009,0.999,
172,65,5,1,1.005,1.008,1.001,
173,65,1,1,1.002,1.023,0.983,
